brand_id,country_emoji,country_en,country_uk,region_en,region_uk,altitude_min,altitude_max,varieties_en,varieties_uk,flavor_notes_en,flavor_notes_uk,process_method_en,process_method_uk,description_en,description_uk,roast_level_en,roast_level_uk,lot_number,sca_score,sensory_json,price_json,cups_score,plantation_photos_url,detailed_process_markdown,weight,price,url,is_premium
2,🇨🇴,Колумбія,Колумбія,Colombia 49 Filter,Колумбія 49 Фільтр,,,Ява,Ява,,,Анаеробна мита,Анаеробна мита,"Квіткова кава з нотами жасмину, бузини та довгим післясмаком аличі","Квіткова кава з нотами жасмину, бузини та довгим післясмаком аличі",Light,Світле,49,87.5,"{""aroma"":""Жасмин"",""body"":""Середнє, округле"",""acidity"":""Бузина"",""aftertaste"":""Алича"",""dots"":{""acidity"":5,""sweetness"":5,""bitterness"":2,""intensity"":3}}","{""r250"":555,""w250"":475,""r1k"":2220,""w1k"":1900}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 50 Filter,Колумбія 50 Фільтр,,,Вуш-вуш,Вуш-вуш,,,Натуральна,Натуральна,"Яскрава ягідна кава з нотами вишні, апельсину та бархатистим тілом","Яскрава ягідна кава з нотами вишні, апельсину та бархатистим тілом",Light,Світле,50,87.25,"{""aroma"":""Вишня"",""body"":""Середнє, округле"",""acidity"":""Сицилійський апельсин"",""aftertaste"":""Ревень"",""dots"":{""acidity"":5,""sweetness"":3,""bitterness"":1,""intensity"":5}}","{""r250"":650,""w250"":570,""r1k"":2600,""w1k"":2280}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 48 Filter,Колумбія 48 Фільтр,,,Рожевий Бурбон,Рожевий Бурбон,,,Натуральна,Натуральна,"Солодка, фруктова кава з нотами шовковиці та льодяника","Солодка, фруктова кава з нотами шовковиці та льодяника",Light,Світле,48,87,"{""aroma"":""Шовковиця"",""body"":""Середнє, округле"",""acidity"":""Нектарин"",""aftertaste"":""Фруктовий льодяник"",""dots"":{""acidity"":2,""sweetness"":5,""bitterness"":1,""intensity"":2}}","{""r250"":555,""w250"":475,""r1k"":2220,""w1k"":1900}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 47 Filter,Колумбія 47 Фільтр,,,"Катурра, Катуаі","Катурра, Катуаі",,,Мита,Мита,Іскриста яблучна кава з нотами ківі та післясмаком какао,Іскриста яблучна кава з нотами ківі та післясмаком какао,Light,Світле,47,86.5,"{""aroma"":""Яблуко"",""body"":""Середнє, округле"",""acidity"":""Ківі"",""aftertaste"":""Какао"",""dots"":{""acidity"":2,""sweetness"":2,""bitterness"":1,""intensity"":2}}","{""r250"":390,""w250"":310,""r1k"":1560,""w1k"":1240}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 46 Filter,Колумбія 46 Фільтр,,,"Катурра, Кастільо","Катурра, Кастільо",,,Натуральна,Натуральна,"Яскрава кава з відтінками груші, марципану та ягідним післясмаком","Яскрава кава з відтінками груші, марципану та ягідним післясмаком",Light,Світле,46,86,"{""aroma"":""Груша"",""body"":""Середнє, округле"",""acidity"":""Ківі"",""aftertaste"":""Марципан"",""dots"":{""acidity"":5,""sweetness"":5,""bitterness"":1,""intensity"":5}}","{""r250"":405,""w250"":325,""r1k"":1620,""w1k"":1300}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 44 Filter (Thermal Shock),Колумбія 44 Фільтр (Термал Шок),,,"Сідра, SL28","Сідра, SL28",,,Термал Шок,Термал Шок,"Яскрава кава з нотами персика, винограду та морозива","Яскрава кава з нотами персика, винограду та морозива",Light,Світле,44,88.5,"{""aroma"":""Персик"",""body"":""Щільне, округле"",""acidity"":""Цитрус, Яблуко"",""aftertaste"":""Довгий, винний"",""dots"":{""acidity"":3,""sweetness"":5,""bitterness"":1,""intensity"":5}}","{""r250"":705,""w250"":625,""r1k"":2820,""w1k"":2500}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 45 Filter,Колумбія 45 Фільтр,,,"Геша, Червоний Бурбон","Геша, Червоний Бурбон",,,Термал Шок,Термал Шок,"Ніжна кава з нотами троянди, грейпфрута та бісквіта","Ніжна кава з нотами троянди, грейпфрута та бісквіта",Light,Світле,45,86.75,"{""aroma"":""Троянда"",""body"":""Бархатисте"",""acidity"":""Грейпфрут"",""aftertaste"":""Довгий, квітковий"",""dots"":{""acidity"":3,""sweetness"":4,""bitterness"":1,""intensity"":4}}","{""r250"":420,""w250"":340,""r1k"":1680,""w1k"":1360}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 31 Filter (Thermal Shock),Колумбія 31 Фільтр (Термал Шок),,,"Чиросо, Катурра","Чиросо, Катурра",,,Термал Шок,Термал Шок,"Фруктова кава з відтінками жасмину, ківі та послесмаком лохини","Фруктова кава з відтінками жасмину, ківі та послесмаком лохини",Light,Світле,31,88,"{""aroma"":""Жасмин"",""body"":""Середнє, округле"",""acidity"":""Ківі"",""aftertaste"":""Лохина"",""dots"":{""acidity"":5,""sweetness"":3,""bitterness"":1,""intensity"":5}}","{""r250"":485,""w250"":405,""r1k"":1940,""w1k"":1620}",,,,,,,
2,🇰🇪,Кенія,Кенія,Kenya 20 Filter,Кенія 20 Фільтр,,,"СЛ 28, СЛ 34","СЛ 28, СЛ 34",,,Мита,Мита,Ягідна кава з нотами кеш’ю та медовим післясмаком,Ягідна кава з нотами кеш’ю та медовим післясмаком,Light,Світле,20,85.5,"{""aroma"":""Червоні ягоди"",""body"":""Середнє, округле"",""acidity"":""Мед"",""aftertaste"":""Апельсин"",""dots"":{""acidity"":3,""sweetness"":2,""bitterness"":1,""intensity"":1}}","{""r250"":340,""w250"":260,""r1k"":1360,""w1k"":1040}",,,,,,,
2,🇷🇼,Руанда,Руанда,Rwanda 14 Filter,Руанда 14 Фільтр,,,Рожевий Бурбон,Рожевий Бурбон,,,Натуральна,Натуральна,Фруктова кава з апельсином та кісточковими фруктами,Фруктова кава з апельсином та кісточковими фруктами,Light,Світле,14,84.75,"{""aroma"":""Апельсин"",""body"":""Середнє, округле"",""acidity"":""Бісквіт"",""aftertaste"":""Кісточкові фрукти"",""dots"":{""acidity"":2,""sweetness"":3,""bitterness"":1,""intensity"":2}}","{""r250"":370,""w250"":290,""r1k"":1480,""w1k"":1160}",,,,,,,
2,🇮🇩,Індонезія,Індонезія,Indonesia 4 Filter,Індонезія 4 Фільтр,,,"С-ліні, Бурбон","С-ліні, Бурбон",,,Анаеробна натуральна,Анаеробна натуральна,Алкогольні відтінки та стиглі фрукти,Алкогольні відтінки та стиглі фрукти,Light,Світле,4,86,"{""aroma"":""Апельсин"",""body"":""Середнє, округле"",""acidity"":""Лохина"",""aftertaste"":""Ревень"",""dots"":{""acidity"":5,""sweetness"":3,""bitterness"":1,""intensity"":5}}","{""r250"":465,""w250"":385,""r1k"":1860,""w1k"":1540}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 9 Filter,Колумбія 9 Фільтр,,,Гейша,Гейша,,,Натуральна,Натуральна,"Тропіки, ожина та алкогольні ноти","Тропіки, ожина та алкогольні ноти",Light,Світле,9,87.5,"{""aroma"":""Тропіки"",""body"":""Делікатне"",""acidity"":""Ожина"",""aftertaste"":""Алкогольний"",""dots"":{""acidity"":3,""sweetness"":5,""bitterness"":1,""intensity"":1}}","{""r250"":530,""w250"":450,""r1k"":2120,""w1k"":1800}",,,,,,,
2,🇨🇷,Коста-Ріка,Коста-Ріка,Costa-Rica 12 Filter,Коста-Ріка 12 Фільтр,,,Катурра,Катурра,,,Натуральна,Натуральна,"Кориця, яблуко та виноград","Кориця, яблуко та виноград",Light,Світле,12,86.5,"{""aroma"":""Кориця"",""body"":""Середнє"",""acidity"":""Яблуко"",""aftertaste"":""Виноград"",""dots"":{""acidity"":2,""sweetness"":5,""bitterness"":1,""intensity"":3}}","{""r250"":570,""w250"":490,""r1k"":2280,""w1k"":1960}",,,,,,,
2,🇮🇩,Індонезія,Індонезія,Indonesia 5 Filter,Індонезія 5 Фільтр,,,Ateng,Ateng,,,Анаеробна Натуральна,Анаеробна Натуральна,Червоне вино та тропіки,Червоне вино та тропіки,Light,Світле,5,85.75,"{""aroma"":""Червоне вино"",""body"":""Щільне"",""acidity"":""Тропіки"",""aftertaste"":""Довгий"",""dots"":{""acidity"":5,""sweetness"":2,""bitterness"":1,""intensity"":5}}","{""r250"":435,""w250"":355,""r1k"":1740,""w1k"":1420}",,,,,,,
2,🇪🇹,Ефіопія,Ефіопія,Ethiopia 8 Filter,Ефіопія 8 Фільтр,,,Heirloom,Heirloom,,,Мита,Мита,Жасмин та абрикос,Жасмин та абрикос,Light,Світле,8,85,"{""aroma"":""Жасмин"",""body"":""Легке"",""acidity"":""Абрикос"",""aftertaste"":""Червоні ягоди"",""dots"":{""acidity"":2,""sweetness"":2,""bitterness"":1,""intensity"":2}}","{""r250"":380,""w250"":300,""r1k"":1520,""w1k"":1200}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia Decaf 2 Filter,Колумбія Без Кофеїну 2 Фільтр,,,Кастійо,Кастійо,,,Термал Шок,Термал Шок,Мандарин та яблуко без кофеїну,Мандарин та яблуко без кофеїну,Light,Світле,2,86.5,"{""aroma"":""Мандарин"",""body"":""Щільне"",""acidity"":""Яблуко"",""aftertaste"":""Квіти"",""dots"":{""acidity"":2,""sweetness"":2,""bitterness"":1,""intensity"":5}}","{""r250"":365,""w250"":285,""r1k"":1460,""w1k"":1140}",,,,,,,
2,🇪🇹,Ефіопія,Ефіопія,Ethiopia 37 Filter,Ефіопія 37 Фільтр,,,Heirloom,Heirloom,,,Анаеробна Натуральна,Анаеробна Натуральна,Персик та яблучна кислинка,Персик та яблучна кислинка,Light,Світле,37,86.5,"{""aroma"":""Персик"",""body"":""Середнє"",""acidity"":""Жасмин"",""aftertaste"":""Яблучна кислинка"",""dots"":{""acidity"":2,""sweetness"":5,""bitterness"":1,""intensity"":2}}","{""r250"":420,""w250"":340,""r1k"":1680,""w1k"":1360}",,,,,,,
2,🇰🇪,Кенія,Кенія,Kenya 10 Filter,Кенія 10 Фільтр,,,"SL28, SL34","SL28, SL34",,,Мита,Мита,Кизил та зелене яблуко,Кизил та зелене яблуко,Light,Світле,10,85.25,"{""aroma"":""Кизил"",""body"":""Середнє"",""acidity"":""Зелене яблуко"",""aftertaste"":""Мед"",""dots"":{""acidity"":5,""sweetness"":2,""bitterness"":1,""intensity"":2}}","{""r250"":385,""w250"":305,""r1k"":1540,""w1k"":1220}",,,,,,,
2,🌍,Blend,Blend,BB2 Brew Blend 2 Filter,BB2 Brew Blend 2 Фільтр,,,"Heirloom, Caturra","Heirloom, Caturra",,,Анаеробна Х Мита,Анаеробна Х Мита,Смородина та тропіки,Смородина та тропіки,Light,Світле,2,85,"{""aroma"":""Смородина"",""body"":""Вершкове"",""acidity"":""Тропіки"",""aftertaste"":""Вершкове тіло"",""dots"":{""acidity"":2,""sweetness"":5,""bitterness"":1,""intensity"":1}}","{""r250"":345,""w250"":265,""r1k"":1380,""w1k"":1060}",,,,,,,
2,🇪🇹,Ефіопія,Ефіопія,Ethiopia 28 Filter,Ефіопія 28 Фільтр,,,Heirloom,Heirloom,,,Мита,Мита,Жасмин та чорний чай,Жасмин та чорний чай,Light,Світле,28,84,"{""aroma"":""Жасмин"",""body"":""Легке"",""acidity"":""Чорний чай"",""aftertaste"":""Квітковий"",""dots"":{""acidity"":2,""sweetness"":3,""bitterness"":1,""intensity"":1}}","{""r250"":328,""w250"":248,""r1k"":1312,""w1k"":992}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 37 Filter,Колумбія 37 Фільтр,,,Кастійо,Кастійо,,,Натуральна,Натуральна,Червоне яблуко та ром,Червоне яблуко та ром,Light,Світле,37,85.75,"{""aroma"":""Червоне яблуко"",""body"":""Середнє"",""acidity"":""Виноград"",""aftertaste"":""Ром"",""dots"":{""acidity"":3,""sweetness"":5,""bitterness"":1,""intensity"":3}}","{""r250"":370,""w250"":290,""r1k"":1480,""w1k"":1160}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia Decaf 1 Filter,Колумбія Без Кофеїну 1 Фільтр,,,Катурра,Катурра,,,Мита Шугакейн,Мита Шугакейн,Карамель та какао без кофеїну,Карамель та какао без кофеїну,Light,Світле,1,82,"{""aroma"":""Карамель"",""body"":""Легке"",""acidity"":""Яблучна кислотність"",""aftertaste"":""Какао"",""dots"":{""acidity"":2,""sweetness"":2,""bitterness"":0,""intensity"":1}}","{""r250"":335,""w250"":255,""r1k"":1340,""w1k"":1020}",,,,,,,
2,🇨🇴,Колумбія,Колумбія,Colombia 4 Filter,Колумбія 4 Фільтр,,,Катурра,Катурра,,,Мита,Мита,Яблуко та карамель,Яблуко та карамель,Light,Світле,4,83,"{""aroma"":""Яблуко"",""body"":""Середнє"",""acidity"":""Цитра"",""aftertaste"":""Карамель"",""dots"":{""acidity"":2,""sweetness"":2,""bitterness"":1,""intensity"":2}}","{""r250"":340,""w250"":260,""r1k"":1360,""w1k"":1040}",,,,,,,
2,🇷🇼,Руанда,Руанда,Rwanda 13 Filter,Руанда 13 Фільтр,,,Бурбон,Бурбон,,,Мита,Мита,Червоні ягоди та мед,Червоні ягоди та мед,Light,Світле,13,84.5,"{""aroma"":""Червоні ягоди"",""body"":""Середнє"",""acidity"":""Мед"",""aftertaste"":""Делікатний"",""dots"":{""acidity"":2,""sweetness"":2,""bitterness"":2,""intensity"":2}}","{""r250"":340,""w250"":260,""r1k"":1360,""w1k"":1040}",,,,,,,
2,🇷🇼,Руанда,Руанда,Rwanda 4 Filter,Руанда 4 Фільтр,,,Бурбон,Бурбон,,,Анаеробна Натуральна,Анаеробна Натуральна,Тропічні фрукти та полуниця,Тропічні фрукти та полуниця,Light,Світле,4,86,"{""aroma"":""Тропіки"",""body"":""Легке"",""acidity"":""Полуниця"",""aftertaste"":""Солодкий"",""dots"":{""acidity"":3,""sweetness"":5,""bitterness"":1,""intensity"":2}}","{""r250"":390,""w250"":310,""r1k"":1560,""w1k"":1240}",,,,,,,
1,🇹🇿,Tanzania,Танзанія,Utengule,Утенгуле,1600,1600,Bourbon,Бурбон,"[""Peach"",""Apple"",""Tea""]","[""Персик"",""Яблуко"",""Чай""]",Honey,Хані,Sweet and balanced lot.,Солодкий та збалансований лот.,Light,Світле,,,,,85.5,,,250g,450₴,,
