Name,Variety,Process,Flavor Notes,Acidity,Sweetness,Bitterness,Price_250g,Price_1kg,Wholesale_1kg
УГАНДА 2,Буллу/Бурбон,мита,"яблуко, шоколад, горіх",2,3,2,313,1250,930
ГОНДУРАС 17,Конкас/Ікату,мита,"яблуко, какао, бісквіт",2,2,1,323,1290,970
КОЛУМБІЯ 34,Монтана/Катурра,мита,"яблуко, зелений чай, м. шок.",2,3,2,323,1290,970
ГВАТЕМАЛА 12,Лас Джанітв/Бурбон,мита,"кіст. фрукти, яблуко, кеш'ю",2,2,1,325,1300,980
ЕЛЬ-САЛЬВАДОР 15,Пакас/Бурбон,мита,"кіст. фрукти, какао, мигдаль",2,2,1,345,1300,980
ЕФІОПІЯ 28,Арреча/Хейрлум,мита,"жасмин, абрикос, лемонграс",4,5,1,328,1310,990
ЕФІОПІЯ 12,Герба/Хейрлум,натуральна,"апельсин, сушений банан, карамель",3,4,3,333,1332,1012
КОЛУМБІЯ DECAF 1,Катурра/Кастілло,мита,"яблуко, сухофрукти, какао",3,3,2,335,1340,1020
КЕНІЯ 20,Кірін'яга/SL28/34,мита,"черв. ягоди, мед, апельсин",4,5,2,340,1360,1040
РУАНДА 13,Кібунго/Бурбон,мита,"черв. ягоди, мед, какао",3,3,2,340,1360,1040
ЕЛЬ-САЛЬВАДОР 14,Ель Нереїдо/Бурбон,натуральна,"нектарин, апельсин, какао",2,4,2,345,1380,1060
ГОНДУРАС 13,Лас Дугатс/Ікату,натуральна,"к. фрукти, слива, карамель",2,4,2,353,1410,1090
ГВАТЕМАЛА 9,Нуево Орієнте/Бурбон,натуральна,"суш. груша, родзинки, фундук",3,4,1,365,1460,1140
КОЛУМБІЯ DECAF 2,Бурбон/Sugarcane,термал шок,"мандарин, яблуко, к. фрукти",3,3,2,365,1460,1140
КОЛУМБІЯ 37,Гуіла/Катурра,натуральна,"ром, черв. яблуко, виноград",3,5,1,370,1480,1160
РУАНДА 14,Кондамбу/Бурбон,натуральна,"апельсин, бісквіт, к. фрукти",3,4,2,370,1480,1160
РУАНДА 4,Като/Бурбон,анаеробка,"полуниця, помело, черешня",3,5,1,390,1560,1240
КОЛУМБІЯ 46,Лас Морас/Катурра,натуральна,"груша, ківі, марципан",5,5,1,405,1620,1300
ЕФІОПІЯ 37,Урага/Хейрлум,анаеробка,"персик, жасмин, яблуко",3,5,1,420,1680,1360
КОЛУМБІЯ 45,Міксот/Черв Бурбон,термал шок,"троянда, грейпфрут, бісквіт",3,4,2,420,1680,1360
